Number of students,90,,,,,,
No,ID,Password,First name,Last name,Gender,Dob,SocialID
75,21120075,7773365008706674556,Nguyen,Khanh,Female,9/13/2004,50022002075
76,21120076,7773365008706674556,Hoang,Phong,Male,6/7/2004,50022002076
77,21120077,7773365008706674556,Phan,Mai,Male,5/17/2004,50022002077
78,21120078,7773365008706674556,Huynh,Tien,Female,1/25/2004,50022002078
79,21120079,7773365008706674556,Vo,Quang,Male,2/25/2004,50022002079
80,21120080,7773365008706674556,Pham,Nam,Female,6/11/2004,50022002080
81,21120081,7773365008706674556,Le,Yen,Male,12/4/2004,50022002081
82,21120082,7773365008706674556,Vo,Bao,Female,12/5/2004,50022002082
83,21120083,7773365008706674556,Vo,Phong,Female,2/5/2004,50022002083
84,21120084,7773365008706674556,Dang,Mai,Female,6/29/2004,50022002084
85,21120085,7773365008706674556,Huynh,Zung,Male,1/15/2004,50022002085
86,21120086,7773365008706674556,Le,Duc,Male,1/27/2004,50022002086
87,21120087,7773365008706674556,Vu,Xuan,Male,10/12/2004,50022002087
88,21120088,7773365008706674556,Phan,Zung,Female,12/27/2004,50022002088
89,21120089,7773365008706674556,Vo,Hoa,Male,6/5/2004,50022002089
90,21120090,7773365008706674556,Dang,Khanh,Female,9/26/2004,50022002090
